id,area_code,int_area_code,Count_of_area,Count_of_broadband_type,broadband_type,bb_type,outage_type,Count_of_transit_server_type,server_type,transit_type,log_report,count_of_log,Sum_of_logs,Count_of_log_report_type,sum_area_vol,Average_of_Volume_frm_area,StdDev_of_Volume_frm_area,Min_of_Volume_frm_area,Max_of_Volume_frm_area,Median_of_Volume_frm_area,Sum_of_volume,Average_of_volume,StdDev_of_volume,Min_of_volume,Max_of_volume,Median_of_volume,outage_duration
11436,1126,1126,2,1,_2,only 2,1,1,_20,only 20,_219_134,1152,353,2,4,2,0,2,2,2,2,1,0,1,1,1,0
13149,1126,1126,2,2,_2_8,with 8,1,3,_20_8_11,others,_134_219_73_195,1419,621,4,4,1,1,0,2,1,22,6,5,1,10,6,0
14544,1125,1125,1,1,_2,only 2,1,1,_20,only 20,_219_134,1152,353,2,2,1,0,1,1,1,2,1,0,1,1,1,1
1697,1122,1122,1,1,_2,only 2,1,1,_20,only 20,_219,1152,219,1,1,1,0,1,1,1,1,1,0,1,1,1,0
3073,1121,1121,2,1,_2,only 2,1,1,_20,only 20,_219_134,1152,353,2,4,2,0,2,2,2,2,1,0,1,1,1,1
7850,1121,1121,2,1,_2,only 2,1,1,_20,only 20,_134,1419,134,1,2,2,0,2,2,2,1,1,0,1,1,1,1
906,1120,1120,4,1,_8,only 8,1,1,_11,only 11,_87_209,207,296,2,1,1,0,0,1,1,15,8,2,6,9,8,0
8422,1120,1120,4,1,_8,only 8,1,1,_11,only 11,_87_209,207,296,2,3,2,0,1,2,2,5,3,1,2,3,3,1
12992,1120,1120,4,1,_8,only 8,1,1,_11,only 11,_182_54_170_209,157,615,4,9,2,2,0,4,2,22,6,5,1,11,5,0
15221,1120,1120,4,1,_8,only 8,1,1,_11,only 11,_87_209_62_85_54_170_182,207,849,7,14,2,2,0,4,0,46,7,5,1,12,9,1
5587,1119,1119,2,1,_8,only 8,1,1,_11,only 11,_87_209,207,296,2,3,2,1,1,2,2,3,2,1,1,2,2,0
10478,1119,1119,2,1,_8,only 8,1,1,_11,only 11,_209_207_54_170_206,209,846,5,6,1,1,0,2,2,50,10,15,1,36,1,2
1005,1118,1118,3,1,_8,only 8,1,1,_11,only 11,_170_54,1526,224,2,6,3,0,3,3,3,2,1,0,1,1,1,0
9470,1118,1118,3,1,_8,only 8,1,1,_11,only 11,_54_170,1573,224,2,1,1,0,1,1,1,10,5,0,5,5,5,1
1309,1117,1117,10,1,_8,only 8,1,1,_11,only 11,_45_161,18,206,2,20,10,0,10,10,10,2,1,0,1,1,1,1
3199,1117,1117,10,1,_8,only 8,1,1,_11,only 11,_68_171_55,1093,294,3,25,8,3,5,10,10,4,1,1,1,2,1,0
4969,1117,1117,10,1,_8,only 8,2,1,_11,only 11,_171_55,459,226,2,20,10,0,10,10,10,2,1,0,1,1,1,0
5493,1117,1117,10,1,_8,only 8,1,1,_11,only 11,_171,459,171,1,10,10,0,10,10,10,1,1,0,1,1,1,0
8583,1117,1117,10,1,_8,only 8,1,1,_11,only 11,_55_171,564,226,2,13,7,5,3,10,7,4,2,1,1,3,2,0
9908,1117,1117,10,1,_8,only 8,2,1,_11,only 11,_55,564,55,1,5,5,0,5,5,5,2,2,0,2,2,2,0
10573,1117,1117,10,1,_8,only 8,1,1,_11,only 11,_171_55,459,226,2,2,1,0,1,1,1,19,10,2,8,11,10,0
15370,1117,1117,10,1,_8,only 8,1,1,_11,only 11,_171,459,171,1,3,3,0,3,3,3,3,3,0,3,3,3,0
3860,1116,1116,3,1,_8,only 8,1,1,_11,only 11,_68_202,1093,270,2,6,3,0,3,3,3,2,1,0,1,1,1,0
4715,1116,1116,3,1,_2,only 2,1,1,_20,only 20,_134,1419,134,1,3,3,0,3,3,3,1,1,0,1,1,1,0
10479,1116,1116,3,1,_2,only 2,1,1,_20,only 20,_219_134,1152,353,2,6,3,0,3,3,3,2,1,0,1,1,1,0
3769,1115,1115,7,1,_8,only 8,1,1,_11,only 11,_55_171_195_73,564,494,4,14,4,4,0,7,4,119,30,33,1,59,30,0
6813,1115,1115,7,1,_8,only 8,1,1,_11,only 11,_73_195,868,268,2,7,4,0,4,4,4,4,2,0,2,2,2,1
13162,1115,1115,7,1,_8,only 8,1,1,_11,only 11,_195_73,783,268,2,6,3,1,2,4,3,5,3,1,2,3,3,0
1902,1113,1113,3,1,_8,only 8,1,1,_11,only 11,_54,1573,54,1,2,2,0,2,2,2,2,2,0,2,2,2,1
6857,1113,1113,3,1,_8,only 8,1,1,_11,only 11,_54_170,1573,224,2,1,1,0,1,1,1,10,5,1,4,6,5,1
2626,1112,1112,9,1,_8,only 8,1,1,_11,only 11,_209,209,209,1,9,9,0,9,9,9,1,1,0,1,1,1,0
6310,1112,1112,9,1,_8,only 8,1,1,_11,only 11,_68,1093,68,1,3,3,0,3,3,3,3,3,0,3,3,3,0
9632,1112,1112,9,1,_8,only 8,1,1,_11,only 11,_170_54_62_83_87_182_209_204,1526,1051,8,33,4,3,1,9,3,50,6,7,1,18,3,2
11483,1112,1112,9,1,_8,only 8,1,1,_11,only 11,_87,207,87,1,9,9,0,9,9,9,1,1,0,1,1,1,0
16590,1112,1112,9,1,_8,only 8,2,1,_11,only 11,_85,55,85,1,9,9,0,9,9,9,1,1,0,1,1,1,0
17860,1112,1112,9,1,_8,only 8,1,1,_11,only 11,_68,1093,68,1,9,9,0,9,9,9,1,1,0,1,1,1,0
94,1111,1111,14,1,_8,only 8,1,1,_11,only 11,_68_54_170,1093,292,3,23,8,6,2,14,7,12,4,4,1,9,2,2
1646,1111,1111,14,1,_8,only 8,1,1,_11,only 11,_54_170,1573,224,2,11,5,2,4,7,5,6,3,1,2,4,3,0
1964,1111,1111,14,1,_8,only 8,2,1,_11,only 11,_54,1573,54,1,14,14,0,14,14,14,1,1,0,1,1,1,0
5260,1111,1111,14,1,_8,only 8,1,1,_11,only 11,_207_170_182,137,559,3,35,12,4,7,14,14,4,1,1,1,2,1,0
5358,1111,1111,14,1,_8,only 8,1,1,_11,only 11,_54_170,1573,224,2,12,6,2,5,7,6,5,3,1,2,3,3,1
5599,1111,1111,14,1,_8,only 8,1,1,_11,only 11,_54_68_170,1573,292,3,26,9,5,5,14,7,6,2,1,1,3,2,1
6385,1111,1111,14,1,_8,only 8,1,1,_11,only 11,_170_54,1526,224,2,21,11,5,7,14,11,3,2,1,1,2,2,1
9039,1111,1111,14,1,_8,only 8,1,1,_11,only 11,_170_54,1526,224,2,12,6,2,5,7,6,5,3,1,2,3,3,1
9350,1111,1111,14,1,_8,only 8,1,1,_11,only 11,_68_170_54,1093,292,3,35,12,4,7,14,14,4,1,1,1,2,1,1
11027,1111,1111,14,1,_8,only 8,4,1,_32,others,_280,63,280,1,14,14,0,14,14,14,1,1,0,1,1,1,0
14867,1111,1111,14,1,_8,only 8,1,1,_11,only 11,_54,1573,54,1,14,14,0,14,14,14,1,1,0,1,1,1,1
1730,1110,1110,2,1,_2,only 2,1,1,_20,only 20,_134,1419,134,1,2,2,0,2,2,2,1,1,0,1,1,1,0
4979,1110,1110,2,2,_8_1,with 8,1,2,_11_6,others,_171,459,171,1,2,2,0,2,2,2,1,1,0,1,1,1,1
2781,1109,1109,13,1,_10,others,1,1,_18,others,_268,3,268,1,7,7,0,7,7,7,2,2,0,2,2,2,0
3407,1109,1109,13,2,_6_8,with 8,1,2,_13_11,others,_345_54,321,399,2,13,7,0,7,7,7,4,2,0,2,2,2,0
5537,1109,1109,13,2,_6_8,with 8,1,2,_13_11,others,_345_273_179_68,321,865,4,52,13,0,13,13,13,4,1,0,1,1,1,1
6351,1109,1109,13,2,_8_4,with 8,2,2,_11_14,others,_68,1093,68,1,13,13,0,13,13,13,1,1,0,1,1,1,0
7383,1109,1109,13,2,_8_6,with 8,1,2,_13_11,others,_170_54_273,1526,497,3,12,4,2,2,7,3,12,4,2,2,6,4,1
8937,1109,1109,13,1,_6,others,1,1,_13,others,_273_345,491,618,2,9,4,0,4,4,4,6,3,0,3,3,3,1
12324,1109,1109,13,2,_8_6,with 8,1,2,_11_13,others,_273_68,491,341,2,13,7,0,7,7,7,4,2,0,2,2,2,1
14337,1109,1109,13,1,_2,only 2,1,1,_20,only 20,_134_219,1419,353,2,26,13,0,13,13,13,2,1,0,1,1,1,0
14447,1109,1109,13,1,_8,only 8,2,1,_11,only 11,_68,1093,68,1,13,13,0,13,13,13,1,1,0,1,1,1,0
16048,1109,1109,13,2,_8_6,with 8,1,2,_13_11,others,_345_68_54_273_170,321,910,5,42,8,4,3,13,7,10,2,1,1,4,2,1
18416,1109,1109,13,2,_8_6,with 8,1,2,_13_11,others,_68_273_345_179,1093,865,4,26,7,4,4,13,4,10,3,1,1,3,3,2
17360,1108,1108,1,1,_8,only 8,2,1,_15,only 15,_80_201,1336,281,2,2,1,0,1,1,1,2,1,0,1,1,1,0
223,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_80_71_193_201,1336,545,4,208,52,30,26,78,52,8,2,1,1,3,2,0
938,1107,1107,78,1,_8,only 8,2,1,_15,only 15,_82_71,3472,153,2,117,59,28,39,78,59,3,2,1,1,2,2,2
1087,1107,1107,78,1,_8,only 8,2,1,_15,only 15,_82_71,3472,153,2,91,46,46,13,78,46,7,4,4,1,6,4,0
